Thời gian cập nhật,,12/06/2026,,"Logic thuộc 1 trong 4 trường hợp sau:

Tồn LM: Lượng đơn Backlogs LastMile trên tổng đơn GTC trung bình 7 ngày gần nhất (L7D) lớn hơn 2 (ngày).
Tồn KTC: Lượng đơn Backlogs KTC cùng tỉnh trên tổng đơn GTC trung bình 7 ngày gần nhất (L7D) lớn hơn 2 (ngày).
Tồn LM + Tồn KTC: Các bưu cục đồng thời thuộc cả 2 nhóm: Tồn LM và Tồn KTC
Tồn Aging >5 ngày: tỷ lệ đơn tồn trên 5 ngày chiếm từ 10% trở lên trên tổng lượng Backlogs LastMile.",,,,,,,,,,,,,,,,
Tổng số lượng bưu cục cảnh báo:,,10,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ngay,vung_giao,tinh_giao,kho_giao_id,kho_giao_name,warehouse_type,bl lm,bl lm >5 ngay,%bl lm >5 ngay,bl ktc,bl ktc cung tinh,%bl ktc cung tinh,tao_n1,tao_avg_7ngay,gtc_n1,gtc_avg_7ngay,gtc_max_7ngay,du_kien_clear_ton,tinh_hinh,ly_do_bat_on,Trạng thái
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,2399,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,BC,1545,12,0.80%,1142,66,0.058,1388,1777,1630,1669,1743,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Khánh Hòa,20495000,Bưu Cục 40A Yết Kiêu-Nha Trang-Khánh Hòa,BC,658,6,0.90%,531,33,0.062,463,788,776,735,882,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,21403000,Bưu Cục Hàm Liêm-Hàm Thuận Bắc-Bình Thuận,BC,721,1,0.10%,344,35,0.102,626,838,806,791,963,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,21290000,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,BC,831,2,0.20%,507,67,0.132,849,1033,881,947,1064,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Ninh Thuận,22861000,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,BC,1131,2,0.20%,866,126,0.145,1026,1264,1272,1209,1318,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,22028000,Kho Giao Hàng Nặng - La Gi - Bình Thuận,GXT,92,0,0.00%,30,11,0.367,119,121,130,106,130,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,23015000,Bưu Cục QL55-Bảo Lâm 3-Lâm Đồng,BC,366,0,0.00%,519,231,0.445,293,329,389,388,586,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Ninh Thuận,20316000,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận,BC,496,8,1.60%,797,20,0.025,508,645,609,597,731,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Ninh Thuận,22357000,Bưu Cục Phước Minh-Thuận Nam-Ninh Thuận,BC,310,7,2.30%,566,20,0.035,360,448,438,403,438,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Đắk Nông,21150000,Bưu Cục Quảng Sơn-Đắk Glong-Đắk Nông,BC,254,1,0.40%,451,26,0.058,320,355,310,315,346,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Đắk Nông,21477000,Bưu Cục Quốc Lộ 14-Đức An-Đắk Song-Đăk Nông,BC,391,2,0.50%,540,43,0.08,462,511,460,467,511,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,22255000,Bưu Cục Lê Hồng Phong-Liên Hiệp-Đức Trọng-Lâm Đồng,BC,392,3,0.80%,255,28,0.11,413,487,420,471,625,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,21320000,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,BC,946,4,0.40%,602,81,0.135,1050,1318,1221,1217,1452,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,21065000,Bưu cục 47 Trần Hưng Đạo-Hàm Thuận Nam-Bình Thuận,BC,326,0,0.00%,227,33,0.145,346,434,437,398,469,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,20144000,Bưu Cục 16 Huỳnh Thúc Kháng-Phan Thiết-Bình Thuận,BC,507,2,0.40%,366,53,0.145,519,680,613,628,692,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Lâm Đồng,21468000,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,BC,586,8,1.40%,668,287,0.43,646,768,879,768,936,1,Bình thường,,Bình thường
2026-06-11 07:30:36.897000,NTB,Bình Thuận,21594000,Bưu Cục 430 Tôn Đức Thắng-Tân Phước-Thị xã La Gi-Bình Thuận,BC,711,3,0.40%,637,57,0.089,909,1129,1073,1039,1100,1,Bình thường,,Bình thường
