Mã bưu cục,Mã đơn hàng,Loại đơn,Khách hàng,Trạng thái,Thời gian tồn đọng,warehouse_name
1896,GYH6BKK8,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục Đạ Huoai-Lâm Đồng
21046000,GYH3BFNX,Luân chuyển trả,OTHER,Chưa đóng kiện,12_24,Bưu Cục 36 Bà Triệu-Vạn Ninh-Khánh Hoà
1896,VNGH80174306706,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu Cục Đạ Huoai-Lâm Đồng
20670000,GYHK7T9D,Luân chuyển giao,OTHER,Không cần đóng kiện,12_24,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng
1896,VNGH80510406701,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu Cục Đạ Huoai-Lâm Đồng
20670000,GYHK7HP9,Luân chuyển giao,OTHER,Không cần đóng kiện,12_24,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng
1896,VNGH80945066701,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu Cục Đạ Huoai-Lâm Đồng
20670000,GYHNMVLB_PR,Luân chuyển giao,OTHER,Chưa đóng kiện,12_24,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng
20669000,GYHCXL83,Luân chuyển trả,OTHER,Chưa đóng kiện,120_192,Bưu Cục Đường Trần Lê-Cát Tiên-Lâm Đồng
20670000,GYH6LNXU_PR,Luân chuyển giao,OTHER,Chưa đóng kiện,12_24,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng
20670000,GYH4XBDX,Luân chuyển giao,OTHER,Chưa đóng kiện,12_24,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng
2399,GYHPFKYL,Luân chuyển giao,SHOPEE,Đã đóng kiện,12_24,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa
20499000,GYHBKV84,Luân chuyển trả,SHOPEE,Chưa đóng kiện,12_24,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận
20673000,GYHPAHKE,Luân chuyển trả,OTHER,Không cần đóng kiện,12_24,Bưu Cục 40 Nguyễn Văn Linh-Cư Jút-Đắk Nông
21126000,GYHBRGNW,Luân chuyển giao,OTHER,Chưa đóng kiện,0_6,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng
20269000,VNGH80003976807,Luân chuyển giao,TTS,Chưa đóng kiện,36_48,Bưu Cục 01 Nguyễn Tất Thành-Đắk R lấp-Đắk Nông
20849000,GYHBYQRF,Luân chuyển trả,OTHER,Chưa đóng kiện,12_24,Bưu Cục QL20 Ninh Hòa-Đức Trọng-Lâm Đồng
20942000,GYHUU6G9,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng
2357,GYH699LQ,Luân chuyển trả,OTHER,Chưa đóng kiện,12_24,Bưu Cục 158 Quốc lộ 55-Tánh Linh-Bình Thuận
21290000,GYHNG4NB,Luân chuyển trả,OTHER,Chưa đóng kiện,0_6,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận
21067000,VNGH80818966904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận
21294000,GYHFCA48,Luân chuyển trả,OTHER,Không cần đóng kiện,12_24,Bưu cục Đinh Văn-Lâm Hà-Lâm Đồng
20785000,VNGH80922746902,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng
21065000,VNGH80583296608,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,Bưu cục 47 Trần Hưng Đạo-Hàm Thuận Nam-Bình Thuận
21298000,GYT3VUGG,Luân chuyển giao,OTHER,Đã đóng kiện,0_6,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận
21046000,GYHDPAR7,Luân chuyển trả,OTHER,Chưa đóng kiện,12_24,Bưu Cục 36 Bà Triệu-Vạn Ninh-Khánh Hoà
20316000,VNGH80547256904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận
2399,GYHKK8D8,Luân chuyển giao,OTHER,Đã đóng kiện,12_24,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa
2357,GYHN7M7N,Luân chuyển trả,SHOPEE,Chưa đóng kiện,12_24,Bưu Cục 158 Quốc lộ 55-Tánh Linh-Bình Thuận
2357,GYHDKY9E,Luân chuyển trả,SHOPEE,Không cần đóng kiện,12_24,Bưu Cục 158 Quốc lộ 55-Tánh Linh-Bình Thuận
20316000,VNGH80480926904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận
20316000,VNGH80484926904,Luân chuyển giao,TTS,Chưa đóng kiện,0_6,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận
