tutinh,kholay,NgayLTC,khung_gio_tao_don,ly_do_tre_12h,sellername,vol_ltc,tuan,vung,ot,Tuần,AM,Khung giờ tạo,Đơn trễ
Bình Thuận,Bưu Cục 430 Tôn Đức Thắng-Tân Phước-Thị xã La Gi-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,My nguyễn naibox,3,24,NTB,3,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Cao Bá Quát-Phường 7-Đà Lạt-Lâm Đồng,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,QK Coffee & Agrifoods,1,24,NTB,1,W24,Lê Minh Đại,2.Tạo từ 19h-9h,0
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Nho giống tâm thanh,5,24,NTB,5,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Đình Phong store 2,21,24,NTB,21,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,Gốm Chăm Bàu Trúc Ninh Thuận,1,24,NTB,0,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,1
Ninh Thuận,Bưu Cục 51 Phạm Ngọc Thạch-Ninh Hải-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Cô 2 ngọc,1,24,NTB,1,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục 158 Quốc lộ 55-Tánh Linh-Bình Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,phụ tùng Lê Trung.,1,24,NTB,1,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu Cục 46 Hùng Vương-Hàm Tân-Bình Thuận,2026-06-13,3.Tạo sau 19h,3.Không liên lạc được,THANH THUYẾT GANA,1,24,NTB,0,W24,Lê Thanh Nhựt,2.Tạo từ 19h-9h,1
Ninh Thuận,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Nhang Hiệp Hưng,64,24,NTB,64,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,0
Đắk Nông,Bưu Cục Quảng Sơn-Đắk Glong-Đắk Nông,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,2k2 tiện ích,7,24,NTB,7,W24,Trần Thị Nhung,2.Tạo từ 19h-9h,0
Đắk Nông,Bưu Cục Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,2026-06-13,2.Tạo từ 9h-19h,4.Khác,CM Store Live,3,24,NTB,0,W24,Trần Công Hậu,1.Tạo từ 9h-19h,3
Bình Thuận,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,2026-06-13,3.Tạo sau 19h,4.Khác,Đồ Câu Chợ Lầu,4,24,NTB,0,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,4
Ninh Thuận,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Nhang Hiệp Hưng,90,24,NTB,90,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,Yến nhi shop giá rẻ,8,24,NTB,0,W24,Lê Thanh Nhựt,2.Tạo từ 19h-9h,8
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,shop B&B....,1,24,NTB,1,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Đắk Nông,Bưu Cục Đắk Mil-Đắk Nông,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Mẹ Và Bé Tuyết Trang,1,24,NTB,1,W24,Trần Thị Nhung,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Tee Hí Shop,1,24,NTB,1,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Trại nho giống tý,16,24,NTB,16,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,0
Khánh Hòa,Bưu Cục 466 Đường 23/10-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Shop Đồ Bộ Hằng,1,24,NTB,1,W24,Phan Đình Duy,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 468 Quốc Lộ 20-Liên Nghĩa-Đức Trọng-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Duongquocloc.,1,24,NTB,1,W24,Trầm Hữu Tiến,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Làng Chài Xưa,4,24,NTB,4,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,VUA TỦ THUỐC,3,24,NTB,3,W24,Nguyễn Lê Nguyên Vũ,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-06-13,3.Tạo sau 19h,4.Khác,LUNASTORES SHOPss,4,24,NTB,0,W24,Nguyễn Lê Nguyên Vũ,2.Tạo từ 19h-9h,4
Lâm Đồng,Bưu Cục Cao Bá Quát-Phường 7-Đà Lạt-Lâm Đồng,2026-06-13,3.Tạo sau 19h,4.Khác,VTNN Duy Tân.,2,24,NTB,0,W24,Lê Minh Đại,2.Tạo từ 19h-9h,2
Bình Thuận,Bưu Cục 430 Tôn Đức Thắng-Tân Phước-Thị xã La Gi-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,shop Cà phê phố,31,24,NTB,31,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Sheer Elegant Ladies Wear,1,24,NTB,1,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,TUAN LE CLOTHING,1,24,NTB,1,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu Cục 158 Quốc lộ 55-Tánh Linh-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,2.Khách hẹn lại,phụ tùng Lê Trung.,1,24,NTB,0,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,1
Bình Thuận,Bưu Cục Hàm Liêm-Hàm Thuận Bắc-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Thuận Phát - Thuốc Cây Trồng,10,24,NTB,10,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,KEM JP THAO,2,24,NTB,2,W24,Hồng Bích Nga,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,KÊNH CỦA CHANG,2,24,NTB,2,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Ari Koi Store,5,24,NTB,5,W24,Lê Văn Trường,1.Tạo từ 9h-19h,0
Đắk Nông,Bưu Cục Quảng Sơn-Đắk Glong-Đắk Nông,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,2k2 tiện ích,1,24,NTB,1,W24,Trần Thị Nhung,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Dâu Tây Shop 85,1,24,NTB,1,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Phụ Tùng Máy Nông Nghiệp NT,6,24,NTB,6,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Kim's Shopp,3,24,NTB,3,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Phú Tài-Phan Thiết-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,PHANTHIETFOOD 02,6,24,NTB,6,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Áo Thun Xinh Giá Rẻ,3,24,NTB,3,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Xịn gia dụng thông Minh,9,24,NTB,9,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Giặt Tẩy Chính Hãng Store,3,24,NTB,3,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Khánh Hòa,Bưu Cục 39 Hùng Vương-Diên Khánh-Khánh Hòa,2026-06-13,3.Tạo sau 19h,4.Khác,Wax Lông Lạnh Nàng Ong,1,24,NTB,0,W24,Nguyễn Hoàng Phi,2.Tạo từ 19h-9h,1
Đắk Nông,Bưu Cục 40 Nguyễn Văn Linh-Cư Jút-Đắk Nông,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,"Phun sương, phun tưới ĐÀO ĐỊNH",1,24,NTB,1,W24,Trần Thị Nhung,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Thôn R'Chai 2-Xã Đức Trọng-Lâm Đồng,2026-06-13,1.Tạo trước 9h,4.Khác,Hồng Xương,1,24,NTB,0,W24,Trầm Hữu Tiến,2.Tạo từ 19h-9h,1
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,TIỆM CÔ BÊ ĐẶC SẢN ĐÀ LẠT,1,24,NTB,1,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 40A Yết Kiêu-Nha Trang-Khánh Hòa,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Thoi Trang Khatoco,1,24,NTB,1,W24,Phan Đình Duy,2.Tạo từ 19h-9h,0
Khánh Hòa,Bưu Cục Tổ Dân Phố 2-Ninh Hoà-Khánh Hoà,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Yumi Mall,5,24,NTB,5,W24,Phạm Bá Thành Công,2.Tạo từ 19h-9h,0
Khánh Hòa,Bưu Cục 229 Phước Long-Nam Nha Trang-Khánh Hòa,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Taki Deli Việt Nam,52,24,NTB,52,W24,Thái Thị Thanh Thư,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,shop đồ ngụy trang,9,24,NTB,9,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Cao Bá Quát-Phường 7-Đà Lạt-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,1.Gan_tre,Sen Đá Hoàng Yến,2,24,NTB,0,W24,Lê Minh Đại,1.Tạo từ 9h-19h,2
Đắk Nông,Bưu Cục Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,2026-06-13,1.Tạo trước 9h,4.Khác,Racing 945 Shop,3,24,NTB,0,W24,Trần Công Hậu,2.Tạo từ 19h-9h,3
Bình Thuận,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,SảnPhẩmNôngnghiệp,16,24,NTB,16,W24,Nguyễn Ngọc Khánh,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục Phước Đồng-Nha Trang-Khánh Hoà,2026-06-13,1.Tạo trước 9h,4.Khác,Duonguyen2212,4,24,NTB,0,W24,Thái Thị Thanh Thư,2.Tạo từ 19h-9h,4
Bình Thuận,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,3.Không liên lạc được,Luxury X1,1,24,NTB,0,W24,Lê Thanh Nhựt,1.Tạo từ 9h-19h,1
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,Nguyễn Hoà 1,3,24,NTB,0,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,3
Đắk Nông,Bưu Cục 40 Nguyễn Văn Linh-Cư Jút-Đắk Nông,2026-06-13,1.Tạo trước 9h,4.Khác,Bạch nơ,2,24,NTB,0,W24,Trần Thị Nhung,2.Tạo từ 19h-9h,2
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,Nước tương Shiitake,1,24,NTB,0,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,1
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Ốc Mỡ store,2,24,NTB,2,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,LUNASTORES SHOPss,1,24,NTB,1,W24,Nguyễn Lê Nguyên Vũ,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,KAI Decal,1,24,NTB,1,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục 430 Tôn Đức Thắng-Tân Phước-Thị xã La Gi-Bình Thuận,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Chipp Accessories,2,24,NTB,2,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,2.Tạo từ 9h-19h,2.Khách hẹn lại,CONG TY TNHH THUONG & SAN XUAT DICH VU HUNG THUYcu,1,24,NTB,0,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,1
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Holiday Shop.,14,24,NTB,14,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Hàm Liêm-Hàm Thuận Bắc-Bình Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,Thuận Phát - Thuốc Cây Trồng,6,24,NTB,0,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,6
Bình Thuận,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Trần Hữu Tạo,12,24,NTB,12,W24,Lê Thanh Nhựt,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 06 Lê Hồng Phong-TP.Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Thoi Trang Khatoco,1,24,NTB,1,W24,Thái Thị Thanh Thư,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận,2026-06-13,1.Tạo trước 9h,1.Gan_tre,Đồ ngâm Huế,10,24,NTB,0,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,10
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Như Thủy shop Bình Thuận,1,24,NTB,1,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 36 Bà Triệu-Vạn Ninh-Khánh Hoà,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,feng shui energy,1,24,NTB,1,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Hamy Trendy Store,10,24,NTB,10,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục Tổ Dân Phố 2-Ninh Hoà-Khánh Hoà,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Rong Biển Quê,36,24,NTB,36,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,LOCSHOPLAMDONG,1,24,NTB,1,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Đường Trần Lê-Cát Tiên-Lâm Đồng,2026-06-13,1.Tạo trước 9h,4.Khác,Chupbixu123,1,24,NTB,0,W24,Huỳnh Tấn HIền,2.Tạo từ 19h-9h,1
Bình Thuận,Bưu Cục 46 Hùng Vương-Hàm Tân-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,xưởng binbin shop,4,24,NTB,4,W24,Lê Thanh Nhựt,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận,2026-06-13,3.Tạo sau 19h,4.Khác,ĐỐC TỜ KÊ PETSHOP,3,24,NTB,0,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,3
Bình Thuận,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Tiệm Ảnh Nhà Bông,2,24,NTB,2,W24,Nguyễn Duy Long,1.Tạo từ 9h-19h,0
Khánh Hòa,Bưu Cục 571 Hùng Vương-Cam Nghĩa-TP.Cam Ranh-Khánh Hoà,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Tiệm Đồ Chơi Xe VN,1,24,NTB,1,W24,Phạm Bá Thành Công,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,NGUYEN NGAN TAM,3,24,NTB,3,W24,Nguyễn Lê Nguyên Vũ,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục 44B Nguyễn Đình Chiểu-Đạ Teh-Lâm Đồng,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Nấm Store LD,1,24,NTB,1,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-06-13,1.Tạo trước 9h,2.Khách hẹn lại,Bơ 034 bảo lộc,21,24,NTB,0,W24,Hồng Bích Nga,2.Tạo từ 19h-9h,21
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Phukienphamkhoa,16,24,NTB,16,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Bách Hóa Online Tuấn Kiệt,10,24,NTB,10,W24,Huỳnh Tấn Hiền,1.Tạo từ 9h-19h,0
Đắk Nông,Bưu Cục 40 Nguyễn Văn Linh-Cư Jút-Đắk Nông,2026-06-13,3.Tạo sau 19h,4.Khác,"Phun sương, phun tưới ĐÀO ĐỊNH",1,24,NTB,0,W24,Trần Thị Nhung,2.Tạo từ 19h-9h,1
Khánh Hòa,Bưu Cục Đường 35 Hà Quang 1-Xã Nam Nha Trang-Khánh Hòa,2026-06-13,1.Tạo trước 9h,4.Khác,chuyên sỉ và lẻ lốp xe,1,24,NTB,0,W24,Thái Thị Thanh Thư,2.Tạo từ 19h-9h,1
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,LY ĐẶNG X7,2,24,NTB,2,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Văn Thức Shop 49,31,24,NTB,31,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Lâm Đồng,Bưu Cục Cao Bá Quát-Phường 7-Đà Lạt-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Thiên Phước Aqua,167,24,NTB,167,W24,Lê Minh Đại,1.Tạo từ 9h-19h,0
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Nông trại Hoàng Yến,29,24,NTB,29,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,0
Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,2026-06-13,1.Tạo trước 9h,4.Khác,Nông Nghiệp 4 Mùa,9,24,NTB,0,W24,Trần Văn Phước,2.Tạo từ 19h-9h,9
Khánh Hòa,Bưu Cục Tổ Dân Phố 2-Ninh Hoà-Khánh Hoà,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Tý Nhân,12,24,NTB,12,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Bình Thuận,Bưu Cục 46 Hùng Vương-Hàm Tân-Bình Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,THANH THUYẾT GANA,1,24,NTB,0,W24,Lê Thanh Nhựt,2.Tạo từ 19h-9h,1
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,2.Khách hẹn lại,Bơ 034 bảo lộc,19,24,NTB,0,W24,Hồng Bích Nga,1.Tạo từ 9h-19h,19
Ninh Thuận,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Tiệm Quê Nhà Vlog,2,24,NTB,2,W24,Nguyễn Duy Long,2.Tạo từ 19h-9h,0
Khánh Hòa,Bưu Cục 70 Lê Hồng Phong-Ninh Diêm-Ninh Hoà-Khánh Hoà,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Cẩm thuý fff,1,24,NTB,1,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,An Vy Shop - 49 Lâm Đồng,12,24,NTB,12,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận,2026-06-13,1.Tạo trước 9h,0.Ontime OPR,Bách Hóa Online Tuấn Kiệt,23,24,NTB,23,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Bình Thuận,Bưu Cục 585 Nguyễn Tất Thành-Xã Lương Sơn-Bình Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,Oanh Thái đồ mặc nhà,5,24,NTB,0,W24,Nguyễn Ngọc Khánh,2.Tạo từ 19h-9h,5
Bình Thuận,Bưu Cục 430 Tôn Đức Thắng-Tân Phước-Thị xã La Gi-Bình Thuận,2026-06-13,1.Tạo trước 9h,4.Khác,SHOP NHÀ MÌNH.TPHCM,2,24,NTB,0,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,2
Bình Thuận,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,2026-06-13,2.Tạo từ 9h-19h,3.Không liên lạc được,Shop M garden,2,24,NTB,0,W24,Lê Thanh Nhựt,1.Tạo từ 9h-19h,2
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-06-13,3.Tạo sau 19h,4.Khác,Ari Koi Store,1,24,NTB,0,W24,Lê Văn Trường,2.Tạo từ 19h-9h,1
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Street Vibe Store,4,24,NTB,4,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Lê Hồng Phong-Liên Hiệp-Đức Trọng-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Minipijama001,17,24,NTB,17,W24,Võ Tấn Lợi,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục TDP Ba Đình-Lâm Hà-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Tienmy.Store,1,24,NTB,1,W24,Huỳnh Thị Kim Chi,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-06-13,3.Tạo sau 19h,0.Ontime OPR,Hongthu.shop,4,24,NTB,4,W24,Huỳnh Tấn Hiền,2.Tạo từ 19h-9h,0
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,Thực Phẩm TP,12,24,NTB,12,W24,Phạm Bá Thành Công,1.Tạo từ 9h-19h,0
Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,2026-06-13,2.Tạo từ 9h-19h,0.Ontime OPR,DUYTRINH 0FFICAL STORE,3,24,NTB,3,W24,Lê Minh Đại,1.Tạo từ 9h-19h,0
